Year,time,Named_Storms,Hurricanes,Major_Storms,ACE
1851,0,6,3,1,36
1852,1,5,5,1,73
1853,2,8,4,2,76
1854,3,5,3,1,31
1855,4,5,4,1,18
1856,5,6,4,2,49
1857,6,4,3,0,40
1858,7,6,6,0,45
1859,8,8,7,1,56
1860,9,7,6,1,62
1861,10,8,6,0,50
1862,11,6,3,0,46
1863,12,9,5,0,50
1864,13,5,3,0,27
1865,14,7,3,0,49
1866,15,7,6,1,84
1867,16,9,7,1,60
1868,17,4,3,0,35
1869,18,10,7,1,51
1870,19,11,10,2,88
1871,20,8,6,2,88
1872,21,5,4,0,65
1873,22,5,3,2,69
1874,23,7,4,0,47
1875,24,6,5,1,72
1876,25,5,4,2,57
1877,26,8,3,1,73
1878,27,12,10,2,181
1879,28,8,6,2,64
1880,29,11,9,2,131
1881,30,7,4,0,59
1882,31,6,4,2,59
1883,32,4,3,2,67
1884,33,4,4,1,72
1885,34,8,6,0,58
1886,35,12,10,4,166
1887,36,19,11,2,181
1888,37,9,6,2,85
1889,38,9,6,0,104
1890,39,4,2,1,33
1891,40,10,7,1,116
1892,41,9,5,0,116
1893,42,12,10,5,231
1894,43,7,5,4,135
1895,44,6,2,0,69
1896,45,7,6,2,136
1897,46,6,3,0,55
1898,47,11,5,1,113
1899,48,10,5,2,151
1900,49,7,3,2,83
1901,50,13,6,0,99
1902,51,5,3,0,33
1903,52,10,7,1,102
1904,53,6,4,0,30
1905,54,5,1,1,28
1906,55,11,6,3,163
1907,56,5,0,0,13
1908,57,10,6,1,95
1909,58,12,6,4,93
1910,59,5,3,1,64
1911,60,6,3,0,35
1912,61,7,4,1,57
1913,62,6,4,0,36
1914,63,1,0,0,3
1915,64,6,5,3,130
1916,65,15,10,5,144
1917,66,4,2,2,61
1918,67,6,4,1,40
1919,68,5,2,1,55
1920,69,5,4,0,30
1921,70,7,5,2,87
1922,71,5,3,1,55
1923,72,9,4,1,49
1924,73,11,5,2,100
1925,74,4,1,0,7
1926,75,11,8,6,230
1927,76,8,4,1,56
1928,77,6,4,1,83
1929,78,5,3,1,48
1930,79,3,2,2,50
1931,80,13,3,1,48
1932,81,15,6,4,170
1933,82,20,11,6,259
1934,83,13,7,1,48
1935,84,8,5,3,106
1936,85,17,7,1,100
1937,86,11,4,1,66
1938,87,9,4,2,78
1939,88,6,3,1,34
1940,89,9,6,0,68
1941,90,6,4,3,52
1942,91,11,4,1,63
1943,92,10,5,2,94
1944,93,14,8,3,104
1945,94,11,5,2,63
1946,95,6,3,1,22
1947,96,9,5,2,112
1948,97,9,6,4,106
1949,98,13,7,3,98
1950,99,13,11,8,243
1951,100,10,8,5,137
1952,101,7,6,3,87
1953,102,14,6,4,104
1954,103,11,8,2,113
1955,104,12,9,6,199
1956,105,8,4,2,54
1957,106,8,3,2,84
1958,107,10,7,5,121
1959,108,11,7,2,77
1960,109,7,4,2,88
1961,110,11,8,7,205
1962,111,5,3,1,36
1963,112,9,7,2,118
1964,113,12,6,6,170
1965,114,6,4,1,84
1966,115,11,7,3,145
1967,116,8,6,1,122
1968,117,8,4,0,45
1969,118,18,12,5,166
1970,119,10,5,2,40
1971,120,13,6,1,97
1972,121,7,3,0,36
1973,122,8,4,1,48
1974,123,11,4,2,68
1975,124,9,6,3,76
1976,125,10,6,2,84
1977,126,6,5,1,25
1978,127,12,5,2,63
1979,128,9,5,2,93
1980,129,11,9,2,149
1981,130,12,7,3,100
1982,131,6,2,1,32
1983,132,4,3,1,17
1984,133,13,5,1,84
1985,134,11,7,3,88
1986,135,6,4,0,36
1987,136,7,3,1,34
1988,137,12,5,3,103
1989,138,11,7,2,135
1990,139,14,8,1,97
1991,140,8,4,2,36
1992,141,7,4,1,76
1993,142,8,4,1,39
1994,143,7,3,0,32
1995,144,19,11,5,228
1996,145,13,9,6,166
1997,146,8,3,1,41
1998,147,14,10,3,182
1999,148,12,8,5,177
2000,149,15,8,3,119
2001,150,15,9,4,110
2002,151,12,4,2,67
2003,152,16,7,3,176
2004,153,15,9,6,227
2005,154,28,15,7,250
2006,155,10,5,2,79
2007,156,15,6,2,74
2008,157,16,8,5,146
2009,158,9,3,2,53
2010,159,19,12,5,165
2011,160,19,7,4,126
2012,161,19,10,2,129
2013,162,14,2,0,36
2014,163,8,6,2,67
2015,164,11,4,2,63
2016,165,15,7,4,141
2017,166,17,10,6,225
2018,167,15,8,2,133
