Year,time,CO2,CH4,N2O,,
1750,0,278,719.01,270,,0
1755,5,278,719.97,270.3,,1
1760,10,278,720.93,270.6,,
1765,15,278,723.71,270.9,,
1770,20,278.6,726.5,271.2,,
1775,25,279.3,730.53,271.5,,
1780,30,280.1,734.57,271.8,,
1785,35,280.8,739.29,272.1,,
1790,40,281.6,744.01,272.4,,
1795,45,282.3,747.4,272.7,,
1800,50,282.9,750.8,273,,
1805,55,283.4,755.45,273.24,,
1810,60,283.8,760.11,273.48,,
1815,65,284,764.92,273.72,,
1820,70,284.2,769.73,273.96,,
1825,75,284.3,774.54,274.2,,
1830,80,284.4,779.35,274.44,,
1835,85,283.8,784.21,274.68,,
1840,90,283.4,789.06,274.92,,
1845,95,283.9,795.24,275.16,,
1850,100,284.7,801.42,275.4,,
1855,105,285.4,808.5,275.9,,
1860,110,286.2,815.59,276.4,,
1865,115,286.9,823.38,276.9,,
1870,120,287.5,831.18,277.4,,
1875,125,288.7,839.33,277.8,,
1880,130,290.7,847.48,278.2,,
1885,135,293,857.35,278.7,,
1890,140,294.2,867.22,279.1,,
1895,145,294.8,878.76,279.5,,
1900,150,295.8,890.3,279.8,,
1905,155,297.6,912.07,280.3,,
1910,160,299.7,935.46,281,,
1915,165,301.4,961.48,281.8,,
1920,170,303,990.23,282.9,,
1925,175,305,1020.2,284,,
1930,180,307.2,1049.05,285,,
1935,185,309.4,1076.54,285.9,,
1940,190,310.4,1102.4,286.7,,
1945,195,310.1,1128.83,287.8,,
1950,200,310.7,1161.73,289,,
1955,205,313,1207.03,290.1,,
1960,210,316.9,1262.97,291.4,,
1965,215,320,1328.47,292.9,,
1970,220,325,1403.19,294.9,,
1975,225,331.3,1483.57,297.4,,
1978,228,334.6,1532.77,298.82,,
1979,229,336.74,1549.53,300.04,,
1980,230,338.7,1566.28,300.65,,
1981,231,339.74,1583.48,301.23,,
1982,232,340.92,1600.69,303.56,,
1983,233,342.47,1617.89,303.78,,
1984,234,344.13,1635.09,304.02,,
1985,235,345.47,1652.29,304.54,,
1986,236,346.89,1669.49,305.37,,
1987,237,348.46,1680.66,305.55,,
1988,238,350.93,1698.83,306.49,,
1989,239,352.57,1710.52,307.48,,
1990,240,353.72,1709.33,308.78,,
1991,241,355.15,1729.07,309.57,,
1992,242,355.9,1731.05,310,,
1993,243,356.63,1735.65,310.25,,
1994,244,358.2,1741.66,310.98,,
1995,245,360.23,1747.1,311.78,,
1996,246,362.01,1749.86,312.81,,
1997,247,363.17,1753.94,313.53,,
1998,248,365.69,1762.43,314.2,,
1999,249,367.81,1772.33,315.15,,
2000,250,368.92,1774.07,316.14,,
2001,251,370.38,1772.95,316.89,,
2002,252,372.49,1773.14,317.47,,
2003,253,375.08,1777.41,318.21,,
2004,254,376.61,1775.44,318.93,,
2005,255,378.97,1774.55,319.6,,
2006,256,381.17,1776.4,320.37,,
2007,257,382.89,1781.75,321.14,,
2008,258,384.98,1789.94,322.11,,
2009,259,386.42,1793.63,322.88,,
2010,260,388.71,1796.84,323.7,,
2011,261,390.57,1803.42,324.61,,
2012,262,392.64,1810.33,325.58,,
2013,263,395.49,1815.44,326.53,,
2014,264,397.45,1824.4,327.61,,
2015,265,399.58,1834.63,328.51,,
2016,266,402.87,1842.4,329.33,,
2017,267,405.19,1849.95,330.31,,
2018,268,407.58,,,,
