1.82E+11,1.82E+01
5.73E+11,5.73E+01
2.87E+11,2.87E+01
1.72E+11,1.72E+01
2.24E+11,2.24E+01
2.29E+11,2.29E+01
4.64E+11,4.64E+01
1.05E+11,1.05E+01
1.97E+11,1.97E+01
2.61E+11,2.61E+01
1.53E+11,1.53E+01
2.55E+11,2.55E+01
5.05E+11,5.05E+01
62258098836,6.23E+00
2.40E+11,2.40E+01
3.87E+11,3.87E+01
1.78E+11,1.78E+01
2.99E+11,2.99E+01
2.37E+11,2.37E+01
70311480977,7.03E+00
3.19E+11,3.19E+01
87056142867,8.71E+00
2.11E+11,2.11E+01
72576255652,7.26E+00
1.02E+11,1.02E+01
1.67E+11,1.67E+01
1.76E+11,1.76E+01
1.95E+11,1.95E+01
65919329584,6.59E+00
1.46E+11,1.46E+01
2.62E+11,2.62E+01
4.21E+11,4.21E+01
2.20E+11,2.20E+01
74580427218,7.46E+00
33195298247,3.32E+00
1.69E+11,1.69E+01
2.11E+11,2.11E+01
84851992705,8.49E+00
64478693529,6.45E+00
2.96E+11,2.96E+01
3.63E+11,3.63E+01
1.96E+11,1.96E+01
87216417117,8.72E+00
1.99E+11,1.99E+01
89235293000,8.92E+00
59635889157,5.96E+00
5.68E+11,5.68E+01
4.51E+11,4.51E+01
96413848353,9.64E+00
5.00E+11,5.00E+01
4.79E+11,4.79E+01
2.83E+11,2.83E+01
2.66E+11,2.66E+01
1.46E+11,1.46E+01
5.09E+11,5.09E+01
6.67E+11,6.67E+01
6.88E+11,6.88E+01
1.96E+11,1.96E+01
2.51E+11,2.51E+01
3.51E+11,3.51E+01
1.38E+11,1.38E+01
